date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:25	30058/30058	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202014%2002:39:25%20GMT	http://namsung.zz.mu/	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/index.html	(from )
09:39:26	59/59	---MC-	200	added ('OK')	text/plain	date:Thu,%2027%20Feb%202014%2002:39:25%20GMT	http://namsung.zz.mu/robots.txt		(from )
09:39:28	42/42	---MC-	200	added ('OK')	text/plain	date:Thu,%2027%20Feb%202014%2002:39:27%20GMT	http://namsung.zz.mu/xmlrpc.php	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/xmlrpc.php	(from http://namsung.zz.mu/)
09:39:29	78665/78665	---MCZ	200	added ('OK')	text/css	date:Thu,%2010%20Oct%202013%2014:25:28%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/style.css?ver=3.7.1	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/stylef43b.css	(from http://namsung.zz.mu/)
09:39:29	19977/19977	---MCZ	200	added ('OK')	text/css	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/css/layout.css?ver=3.7.1	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/css/layoutf43b.css	(from http://namsung.zz.mu/)
09:39:30	8816/8816	---MCZ	200	added ('OK')	text/xml	date:Tue,%2026%20Nov%202013%2009:33:57%20GMT	http://namsung.zz.mu/feed/	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/feed/index.html	(from http://namsung.zz.mu/)
09:39:30	33628/33628	---MCZ	200	added ('OK')	text/css	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/css/woocommerce.css?ver=3.7.1	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/css/woocommercef43b.css	(from http://namsung.zz.mu/)
09:39:31	1987/1987	---M--	200	added ('OK')	application/javascript	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/includes/js/fitvids.min.js?ver=1.0	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/includes/js/fitvids.min5152.js	(from http://namsung.zz.mu/)
09:39:31	849/849	---MCZ	404	error ('Not%20Found')	text/xml	date:Thu,%2027%20Feb%202014%2002:39:30%20GMT	http://namsung.zz.mu/comments/feed/	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/comments/feed/index.html	(from http://namsung.zz.mu/)
09:39:31	2959/2959	---M--	200	added ('OK')	application/javascript	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/includes/js/modernizr.min.js?ver=2.6.2	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/includes/js/modernizr.min61da.js	(from http://namsung.zz.mu/)
09:39:31	4473/4473	---M--	200	added ('OK')	application/javascript	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/includes/js/general.js?ver=3.7.1	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/includes/js/generalf43b.js	(from http://namsung.zz.mu/)
09:39:33	718/718	---MCZ	200	added ('OK')	text/xml	date:Thu,%2027%20Feb%202014%2002:39:32%20GMT	http://namsung.zz.mu/xmlrpc.php?rsd	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/xmlrpc0db0.php	(from http://namsung.zz.mu/)
09:39:34	26003/26003	---MCZ	200	added ('OK')	text/css	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/styles/blue.css	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/styles/blue.css	(from http://namsung.zz.mu/)
09:39:35	28360/28360	---MCZ	200	added ('OK')	text/css	date:Thu,%2010%20Oct%202013%2014:25:30%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/functions/css/shortcodes.css	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/functions/css/shortcodes.css	(from http://namsung.zz.mu/)
09:39:35	618/618	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/custom.css	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/custom.css	(from http://namsung.zz.mu/)
09:39:36	3025/3025	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Nov%202013%2009:18:01%20GMT	http://namsung.zz.mu/wp-content/uploads/2013/11/Apple_1998_Logo1.png	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/uploads/2013/11/Apple_1998_Logo1.png	(from http://namsung.zz.mu/)
09:39:38	59465/59465	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2026%20Feb%202014%2019:04:32%20GMT	http://scripts.chitika.net/eminimalls/amm.js	C:/Users/Do/Desktop/site/nam%20test/scripts.chitika.net/eminimalls/amm.js	(from http://namsung.zz.mu/)
09:39:39	30321/30321	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202014%2002:39:38%20GMT	http://namsung.zz.mu/sample-page/	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/sample-page/index.html	(from http://namsung.zz.mu/)
09:39:40	2246/2246	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202014%2002:39:39%20GMT	http://namsung.zz.mu/wp-login.php	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-login.html	(from http://namsung.zz.mu/)
09:39:42	27809/27809	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202014%2002:39:39%20GMT	http://namsung.zz.mu/my-account/	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/my-account/index.html	(from http://namsung.zz.mu/)
09:39:43	30088/30088	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202014%2002:39:40%20GMT	http://namsung.zz.mu/author/namsung/	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/author/namsung/index.html	(from http://namsung.zz.mu/)
09:39:43	36362/36362	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202014%2002:39:40%20GMT	http://namsung.zz.mu/2013/11/apple-hiring-developers-next-gen-payment-platform-help-retail-enter-new-markets/	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/2013/11/apple-hiring-developers-next-gen-payment-platform-help-retail-enter-new-markets/index.html	(from http://namsung.zz.mu/)
09:39:43	2407/2407	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/images/woothemes.png	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/images/woothemes.png	(from http://namsung.zz.mu/)
09:39:45	30285/30285	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202014%2002:39:43%20GMT	http://namsung.zz.mu/category/uncategorized/	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/category/uncategorized/index.html	(from http://namsung.zz.mu/)
09:39:47	35232/35232	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202014%2002:39:44%20GMT	http://namsung.zz.mu/2013/11/apple-starts-selling-unlocked-sim-free-iphone-5s-u-s/	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/2013/11/apple-starts-selling-unlocked-sim-free-iphone-5s-u-s/index.html	(from http://namsung.zz.mu/)
